timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27
15:40:14.594627,-49494.01171875,-65339.4140625,-55509.390625,-57266.0078125,294905.9375,-42314.46875,-46264.39453125,-47658.3515625,-25432.8515625,-24233.90625,-4141.2734375,-26770.833984375,-41352.109375,167552.40625,191803.734375,40000.53515625,-2244.188232421875,230090.125,220202.96875,170447.109375,33708.6953125,33768.77734375,694065.1875,693955.375,0.0,0.0,0.0
15:40:14.596623,-49492.9375,-65450.109375,-57306.0625,-56983.01171875,289515.46875,-42753.578125,-46287.28515625,-47798.55078125,-25412.5546875,-27602.46875,-4119.0986328125,-26760.283203125,-41208.9609375,162094.15625,186470.5,34549.265625,-2191.613037109375,224740.703125,215034.515625,164970.109375,28542.384765625,28600.056640625,692588.4375,692471.75,0.0,16237840.0,0.0
15:40:14.626604,-49006.34765625,-64850.859375,-54059.015625,-56450.19921875,293835.03125,-40422.65625,-46185.62109375,-46235.78515625,-24325.5546875,-22973.265625,-2946.083740234375,-26612.125,-40164.07421875,166714.0625,190915.859375,38957.9765625,-1902.1817626953125,229198.6875,219324.84375,169353.15625,32845.49609375,32905.3125,693822.0625,693711.75,0.0,0.0,0.0
15:40:14.627617,-48703.1484375,-64346.12109375,-50147.7109375,-56450.46484375,301709.21875,-38472.91015625,-46094.51171875,-45108.99609375,-23674.802734375,-16565.361328125,-2238.197509765625,-26528.880859375,-39681.51171875,174894.40625,198835.921875,46979.5234375,-1781.65234375,237048.28125,227004.109375,177377.03125,40446.0859375,40508.05078125,695996.1875,695888.875,0.0,0.0,0.0
15:40:14.629605,-49066.61328125,-64726.84375,-51773.78515625,-57017.34765625,300223.90625,-39982.38671875,-46156.83203125,-46220.2265625,-24510.373046875,-18585.658203125,-3142.435791015625,-26643.150390625,-40553.203125,173192.953125,197210.390625,45459.31640625,-2030.84765625,235269.140625,225592.90625,175858.453125,38810.625,38871.78515625,695527.375,695418.375,0.0,0.0,0.0
15:40:14.630606,-49513.94921875,-65369.3671875,-56276.2890625,-57261.53515625,291474.25,-42493.65234375,-46264.93359375,-47776.46875,-25483.99609375,-25762.16015625,-4209.49560546875,-26767.97265625,-41410.23046875,164107.03125,188371.515625,36582.52734375,-2261.08740234375,226326.265625,217304.546875,166918.59375,30198.767578125,30257.513671875,693060.8125,692945.125,0.0,0.0,0.0
15:40:14.632601,-49526.37890625,-65496.78125,-58235.515625,-56993.65234375,285662.03125,-43004.3828125,-46291.21875,-47955.47265625,-25480.5078125,-29464.234375,-4205.740234375,-26759.65625,-41281.02734375,158229.171875,182606.765625,30704.041015625,-2209.763916015625,220544.53125,212017.890625,160929.265625,24598.71484375,24655.3125,691455.375,691342.5625,0.0,0.0,0.0
15:40:14.633603,-49039.609375,-64904.23828125,-55122.05078125,-56465.66796875,289557.59375,-40723.53515625,-46192.41796875,-46413.8046875,-24405.04296875,-25082.70703125,-3043.54443359375,-26614.806640625,-40229.2578125,162439.828125,186625.890625,34691.8828125,-1918.4549560546875,224543.015625,216069.203125,164850.125,28464.59375,28522.265625,692563.6875,692449.375,0.0,0.0,0.0
15:40:14.635600,-48727.6484375,-64404.59765625,-51257.33203125,-56466.11328125,297181.5,-38758.5859375,-46104.79296875,-45266.80859375,-23748.837890625,-18714.4140625,-2316.7919921875,-26533.44140625,-39707.44140625,170373.03125,194300.515625,42466.0234375,-1791.2196044921875,232078.6875,223428.828125,172654.109375,35805.796875,35867.4921875,694665.625,694554.125,0.0,0.0,0.0
15:40:14.636600,-49084.765625,-64772.0859375,-52768.5078125,-57027.44921875,295781.125,-40173.8203125,-46167.828125,-46319.4765625,-24545.154296875,-20448.23046875,-3171.405517578125,-26650.037109375,-40535.05078125,168763.953125,192771.640625,41032.81640625,-2031.115966796875,230328.78125,221775.578125,171329.078125,34253.22265625,34314.11328125,694220.6875,694107.75,0.0,16237840.0,0.0
15:40:14.637600,-49519.046875,-65382.33203125,-57011.08984375,-57266.72265625,287471.21875,-42541.7578125,-46274.76953125,-47783.26171875,-25461.91015625,-27047.12109375,-4176.85986328125,-26769.134765625,-41334.67578125,160115.25,184376.96875,32591.291015625,-2246.602294921875,221804.90625,213488.734375,162996.125,26090.130859375,26148.337890625,691882.0,691767.8125,0.0,0.0,0.0
15:40:14.639601,-49489.71875,-65461.73046875,-58556.95703125,-56976.12890625,282472.8125,-42850.32421875,-46291.7578125,-47831.90234375,-25385.998046875,-29947.24609375,-4098.8017578125,-26745.9765625,-41148.25,155055.703125,179430.53125,27530.3125,-2181.5986328125,216867.046875,208648.421875,158008.734375,21329.400390625,21385.73046875,690514.5,690401.75,0.0,0.0,0.0
15:40:14.641595,-48974.51953125,-64815.54296875,-54962.53515625,-56429.8125,287470.84375,-40361.5,-46181.33203125,-46165.05859375,-24247.765625,-24674.802734375,-2868.472900390625,-26591.11328125,-40045.33203125,160375.625,184567.15625,32627.951171875,-1877.3248291015625,222035.328125,213659.78125,163155.25,26334.228515625,26391.900390625,691949.3125,691835.3125,0.0,0.0,0.0
15:40:14.641595,-48637.875,-64264.12890625,-50620.26171875,-56423.1953125,296311.0625,-38223.4453125,-46080.83203125,-44916.21875,-23538.1796875,-17492.1328125,-2092.274658203125,-26505.365234375,-39478.80859375,169539.703125,193473.625,41625.8046875,-1744.366943359375,230878.21875,222358.8125,172179.59375,34932.40625,34992.76171875,694414.5625,694303.125,0.0,0.0,0.0
15:40:14.676578,-48977.828125,-64610.16015625,-51839.14453125,-56992.48828125,295857.375,-39583.9609375,-46138.58984375,-45934.90625,-24337.537109375,-18802.12890625,-2953.41552734375,-26615.96875,-40318.40234375,168887.4375,192904.234375,41151.01953125,-1987.12451171875,230155.9375,221943.21875,171656.125,34358.640625,34418.45703125,694252.4375,694139.5,0.0,0.0,0.0
15:40:14.678574,-49431.33203125,-65237.03515625,-56048.10546875,-57254.47265625,287987.125,-42024.5,-46249.8203125,-47454.48828125,-25304.810546875,-25470.314453125,-4012.965087890625,-26740.34375,-41175.0703125,160687.859375,184957.796875,33146.7265625,-2219.86767578125,222098.453125,214356.046875,163495.046875,26656.921875,26714.326171875,692046.125,691936.0,0.0,0.0,0.0
15:40:14.679572,-49451.08984375,-65362.83984375,-57838.33984375,-56989.18359375,282810.71875,-42526.46875,-46272.0859375,-47636.71484375,-25311.337890625,-28911.5703125,-4024.767578125,-26731.044921875,-41066.078125,155457.703125,179845.234375,27911.837890625,-2175.071533203125,216975.6875,209419.078125,158018.046875,21717.8125,21773.875,690629.75,690513.125,0.0,0.0,0.0
15:40:14.680573,-48967.1875,-64772.62109375,-54619.1875,-56461.1953125,287205.3125,-40256.796875,-46170.51171875,-46102.109375,-24246.78125,-24413.359375,-2878.75537109375,-26587.537109375,-40053.37890625,160166.9375,184376.609375,32402.80859375,-1886.1767578125,221511.890625,213671.59375,162292.859375,26109.443359375,26165.505859375,691887.8125,691776.75,0.0,16237840.0,0.0
15:40:14.682570,-48656.20703125,-64273.42578125,-50684.1015625,-56467.0078125,295226.9375,-38322.06640625,-46081.9921875,-44982.7421875,-23600.6796875,-18014.126953125,-2170.2431640625,-26505.185546875,-39561.42578125,168504.65625,192458.6875,40571.7109375,-1763.948486328125,229476.3125,221223.453125,170336.390625,33853.2734375,33911.75,694107.9375,693998.6875,0.0,0.0,0.0
15:40:14.683572,-49034.3359375,-64663.984375,-52318.58203125,-57043.27734375,293823.40625,-39858.546875,-46149.140625,-46117.3125,-24454.041015625,-20051.94921875,-3086.283935546875,-26622.49609375,-40452.7890625,166895.75,190927.578125,39130.54296875,-2018.329833984375,227744.640625,219495.53125,168824.1875,32288.361328125,32347.373046875,693658.1875,693548.1875,0.0,0.0,0.0
